2,552
1,569
1,946
1,268
2,676
3,074
2,919
3,605
4,26
2,694
4,767
6,694
7,262
9,266
5,262
6,265
5,673
6,038
6,483
6,536
7,098
8,427
7,265
9,226
8,61
8,938
9,154
9,657
8,891
9,896
10,46
9,771
12,152
11,132
11,552
11,976
12,631
9,567
11,471
9,62
12,622
8,88
11,888
11,307
12,076
9,145
14,136
5,152
8,707
14,024
11,908
10,751
11,762
12,371
5,606
12,162
7,424
11,248
9,853
10,437
8,456
11,611
13,88
12,781
9,76
13,836
11,376
21,194
13,382
15,107
15,757
17,183
17,413
22,328
16,574
20,2
14,178
24,222
21,374
13,243
24,943
24,693
21,094
19,511
18,65
20,316
20,912
22,523
23,616
20,577
20,081
22,553
21,507
20,909
24,935
25,162
18,631
21,807
20,962
21,917
27,511
29,265
28,432
22,411
28,115
23,718
18,438
21,645
23,82
28,581
26,989
28,581
26,819
34,502
26,631
28,07
25,378
27,332
26,057
28,297
30,54
28,201
24,734
25,953
30,451
32,415
26,631
28,392
21,444
25,976
27,564
28,032
22,928
30,942
33,719
25,797
29,705
29,695
29,03
36,943
